equipment_names,equipment_urls
Boss TU-3 Chromatic Tuner,/items/boss-tu-3-chromatic-tuner
Morley Maverick Mini Switchless Wah,/items/morley-maverick-mini-switchless-wah
Xotic Effects SP Compressor Pedal,/items/xotic-effects-sp-compressor-pedal
Boss HR-2 Harmonist Guitar Effect Pedal,/items/boss-hr-2-harmonist-guitar-effect-pedal
Xotic Effects EP Booster Pedal,/items/xotic-effects-ep-booster-pedal
Boss DD-7 Digital Delay,/items/boss-dd-7-digital-delay
Strymon El Capistan dTape Echo Delay Pedal,/items/strymon-el-capistan-dtape-echo-delay-pedal
Strymon Lex Rotary Rotating Speaker Effects Pedal,/items/strymon-lex-rotary-rotating-speaker-effects-pedal
Xotic Effects Custom Shop SXB-1 Stereo X-Blender,/items/xotic-effects-custom-shop-sxb-1-stereo-x-blender
Fractal Audio Axe-FX II,/items/fractal-audio-axe-fx-ii
Line 6 Pod X3,/items/line-6-pod-x3
Maxon OD808 Overdrive,/items/maxon-od808-overdrive
Boss NS-2 Noise Suppressor Pedal,/items/boss-ns-2-noise-suppressor-pedal
Boss DD-20 Giga Delay Digital Delay Pedal,/items/boss-dd-20-giga-delay-digital-delay-pedal
Morley Steve Vai Bad Horsie 2 Contour Wah Pedal,/items/morley-steve-vai-bad-horsie-2-contour-wah-pedal
Fractal Audio Systems AX8 Amp Modeler/Multi-FX Processor,/items/fractal-audio-systems-ax8-amp-modeler-multi-fx-processor
Dunlop John Petrucci Signature Crybaby Wah JP-95,/items/dunlop-john-petrucci-signature-crybaby-wah-jp-95
Ernie Ball MVP Volume Pedal,/items/ernie-ball-mvp-volume-pedal
Source Audio Lunar Phaser,/items/source-audio-lunar-phaser
Neunaber Chroma Stereo Chorus,/items/neunaber-chroma-stereo-chorus
Source Audio Vertigo Tremolo,/items/source-audio-vertigo-tremolo
Big Joe Stomp Box Company B-408 Phaser,/items/big-joe-stomp-box-company-b-408-phaser
TC Electronic Ditto Looper Guitar Effects Pedal,/items/tc-electronic-ditto-looper-guitar-effects-pedal
Ibanez TS9 Tube Screamer,/items/ibanez-ts9-tube-screamer
Analog Man King of Tone Overdrive Guitar Effect Pedal,/items/analog-man-king-of-tone-overdrive-guitar-effect-pedal
Xotic Effects RC Booster Clean Boost Guitar Effects Pedal,/items/xotic-effects-rc-booster-clean-boost-guitar-effects-pedal
Boss TR-2 Tremolo Pedal,/items/boss-tr-2-tremolo-pedal
Way Huge Electronics Aqua-Puss MkII Analog Delay Guitar Effects Pedal,/items/way-huge-electronics-aqua-puss-mkii-analog-delay-guitar-effects-pedal
Boss OC-3 SUPER Octave Pedal,/items/boss-oc-3-super-octave-pedal
MXR M-107 Phase 100 Effects Pedal,/items/mxr-m-107-phase-100-effects-pedal
Pedaltrain 2,/items/pedaltrain-2
Dunlop DC-Brick Multi-Power Supply,/items/dunlop-dc-brick-multi-power-supply
Electro faustus EF102 photo theremin,/items/electro-faustus-ef102-photo-theremin
Oddfellow Caveman Overdrive 2,/items/oddfellow-caveman-overdrive-2
DOD Envelope Filter 440  (2014),/items/dod-envelope-filter-440-2014
Donner Yellow Fall Vintage Pure Analog Delay Guitar Effect Pedal True Bypass,/items/donner-yellow-fall-vintage-pure-analog-delay-guitar-effect-pedal-true-bypass
Drybell Vibe Machine V-1,/items/drybell-vibe-machine-v-1
GNI Octa Fuzz,/items/gni-octa-fuzz
Mooer Yellow Comp,/items/mooer-yellow-comp
BBE Soul Vibe Pedal,/items/bbe-soul-vibe-pedal
Mooer Trelicopter,/items/mooer-trelicopter
MXR CSP-026 Handwired 1974 Vintage Phase 90 Pedal,/items/mxr-csp-026-handwired-1974-vintage-phase-90-pedal
MXR MC404 CAE Wah,/items/mxr-mc404-cae-wah
Jim Dunlop FFM6 Band Of Gypsy's Fuzz Face Mini,/items/jim-dunlop-ffm6-band-of-gypsy-s-fuzz-face-mini
Electro-Harmonix POG2 Polyphonic Octave Generator Guitar Effects Pedal,/items/electro-harmonix-pog2-polyphonic-octave-generator-guitar-effects-pedal
Strymon TimeLine - Multidimensional Delay Effects - Delay Pedal,/items/strymon-timeline-multidimensional-delay-effects-delay-pedal
Strymon blueSky Reverberator Pedal,/items/strymon-bluesky-reverberator-pedal
Fulltone Full-Drive2 Mosfet,/items/fulltone-full-drive2-mosfet
Fulltone CLYDE Standard Wah,/items/fulltone-clyde-standard-wah
