equipment_names,equipment_urls
"""Speaker cabs include two 2×15 , while a modded Marshall and 4×12""",/items/speaker-cabs-include-two-2x15-while-a-modded-marshall-and-4x12
'63 Fender Tube Reverb,/items/63-fender-tube-reverb
1963 Fender Jaguar Electric Guitar,/items/1963-fender-jaguar-electric-guitar
1963 Gibson ES-345 Black,/items/1963-gibson-es-345-black
1979 Park 1207 100-Watt Non-Master Volume Amp Head,/items/1979-park-1207-100-watt-non-master-volume-amp-head
1980 Roland G-505,/items/1980-roland-g-505
1982 Roland G-505,/items/1982-roland-g-505
2 Note Torpedo VB-101,/items/2-note-torpedo-vb-101
30th Anniversary Ibanez TS9 Tube Screamer,/items/30th-anniversary-ibanez-ts9-tube-screamer
3Leaf Audio Proton Envelope Filter Guitar Effects Pedal,/items/3leaf-audio-proton-envelope-filter-guitar-effects-pedal
4114 Custom Effects - Flux Capacitor Delay Pedal,/items/4114-custom-effects-flux-capacitor-delay-pedal
A.Y.A R-Comp,/items/a-y-a-r-comp
A/DA Flanger,/items/a-da-flanger
AER Pocket Tools Coulorizer,/items/aer-pocket-tools-coulorizer
AMT Electronics Legend Amps Series E1 Distortion Guitar Effects Pedal,/items/amt-electronics-legend-amps-series-e1-distortion-guitar-effects-pedal
AMT Japanese Girl Wah,/items/amt-japanese-girl-wah
ARC Effects Big Green,/items/arc-effects-big-green
ARION SCO-1 Compressor,/items/arion-sco-1-compressor
ART X-11 MIDI MasterControl Footswitch,/items/art-x-11-midi-mastercontrol-footswitch
Abbott's Music Handwired Fuzz Pedal,/items/abbott-s-music-handwired-fuzz-pedal
Adial Tonebone PZ-Pre Acoustic Preamp,/items/adial-tonebone-pz-pre-acoustic-preamp
Adventure Audio Fuzz Peaks,/items/adventure-audio-fuzz-peaks
Aeneko MXR Distortion+ Monster modified,/items/aeneko-mxr-distortion-monster-modified
Aguilar Filter Twin Dual Envelope Filter Effects Bass Pedal,/items/aguilar-filter-twin-dual-envelope-filter-effects-bass-pedal
Aguilar Tone Hammer Preamp/Direct Box,/items/aguilar-tone-hammer-preamp-direct-box
Aion Compressor Effects Pedal,/items/aion-compressor-effects-pedal
Airis Effects Savage Drive,/items/airis-effects-savage-drive
Airis Effects Solar Flare Distortion Pedal,/items/airis-effects-solar-flare-distortion-pedal
Akai Deep Impact,/items/akai-deep-impact
Akai E1 Headrush Delay/Looper,/items/akai-e1-headrush-delay-looper
Akai P1 Intelliphase,/items/akai-p1-intelliphase
Akai Professional E2 HeadRush Delay/Looper,/items/akai-professional-e2-headrush-delay-looper
Alesis ModFX Bitrman,/items/alesis-modfx-bitrman
Alesis Q20,/items/alesis-q20
Alesis QX25 25-Key Advanced USB/MIDI keyboard Controller,/items/alesis-qx25-25-key-advanced-usb-midi-keyboard-controller
Alien Origami Overdrive,/items/alien-origami-overdrive
Alien Space 'O' Verb,/items/alien-space-o-verb
Alnico Tubby Tone Speakers,/items/alnico-tubby-tone-speakers
AmpRx BrownBox,/items/amprx-brownbox
AmpTweaker TightDrive Pro,/items/amptweaker-tightdrive-pro
Ampeg Scrambler,/items/ampeg-scrambler
Ampeg Sub-Blaster,/items/ampeg-sub-blaster
Amptweaker Tight Metal Pro Pedal,/items/amptweaker-tight-metal-pro-pedal
Amt Electronics Ex-50 Expression Guitar Effects Pedal,/items/amt-electronics-ex-50-expression-guitar-effects-pedal
Analog Man AR20DL Analog Delay,/items/analog-man-ar20dl-analog-delay
Analog Man ARDX20 Dual Analog Delay Pedal,/items/analog-man-ardx20-dual-analog-delay-pedal
Analog Man Beano Boost,/items/analog-man-beano-boost
Analog Man Bi-Chorus,/items/analog-man-bi-chorus
Analog Man Boss TR-2,/items/analog-man-boss-tr-2
Analog Man Comprossor,/items/analog-man-comprossor
Analog Man Juicer Compressor Pedal,/items/analog-man-juicer-compressor-pedal
Analog Man King of Tone 4 Jack Version,/items/analog-man-king-of-tone-4-jack-version
Analog Man King of Tone Overdrive Guitar Effect Pedal,/items/analog-man-king-of-tone-overdrive-guitar-effect-pedal
Analog Man Mini Chorus,/items/analog-man-mini-chorus
Analog Man Modded Ibanez TS9,/items/analog-man-modded-ibanez-ts9
Analog Man Peppermint Fuzz,/items/analog-man-peppermint-fuzz
Analog Man Prince of Tone Overdrive Effects Pedal,/items/analog-man-prince-of-tone-overdrive-effects-pedal
Analog Man Raconteurs Custom Tuner Mute Box,/items/analog-man-raconteurs-custom-tuner-mute-box
Analog Man Standard Chorus Pedal,/items/analog-man-standard-chorus-pedal
Analog Man Sun Lion Fuzz Pedal,/items/analog-man-sun-lion-fuzz-pedal
Analog Man The White Stripes Custom Tuner Mute Box,/items/analog-man-the-white-stripes-custom-tuner-mute-box
Analog Man Tuner Box,/items/analog-man-tuner-box
Analog Outfitters Scanner,/items/analog-outfitters-scanner
Analogman Astro Tone Fuzz Pedal,/items/analogman-astro-tone-fuzz-pedal
